group,Ebp_AI,Ebp_Human
1,0.5319704634437692,0.46488956733475717
2,2.343549176779583,1.2232633909386224
3,1.3161715379156678,0.7134442352596216
4,1.5004251255426382,0.9575760398403013
5,1.061953768648939,0.46450457168029474
6,0.20122793977371256,0.20122793977371256
7,1.733231406527124,1.0542817102802258
8,1.0127077870683971,0.29829719196694887
9,2.0833923575460753,1.8011123487190355
10,0.958098491107036,0.5039189488712675
11,3.095803108135761,1.8504864283536566
12,1.0885537140618091,1.2618989837380217
13,0.22781683948125553,0.30022971655233416
14,1.428121034778574,1.302872503129929
15,1.398318536827784,1.1336026122845042
16,0.8073294421966353,0.7143182987492136
17,0.839546485379373,1.8101470086314313
18,0.24246516466925516,0.25237101097027553
19,2.044501870450002,1.7156937688723919
20,0.29787011520074874,0.2805312762427212
21,2.835863177624766,3.356405993133537
